attendance,study_hours,previous_marks,sleep_hours,internet_access,tuition,extracurricular,screen_time,assignments_completed,final_marks
85,4,62,5,1,1,0,8,2,73.8
96,5,76,7,1,1,1,7,3,97.1
77,8,45,8,1,1,0,4,3,99.4
82,6,40,5,0,1,0,8,2,69.4
97,7,46,5,0,1,0,2,2,88.8
50,4,88,6,1,1,1,2,9,100.0
83,1,84,9,0,0,1,2,1,75.2
93,2,42,5,1,0,0,8,7,62.4
91,8,47,4,1,1,0,4,6,100.0
93,2,52,8,1,0,1,4,4,75.4
84,8,54,9,1,1,0,2,6,100.0
77,6,83,5,1,0,1,1,9,100.0
58,1,57,4,1,0,0,2,2,53.4
59,8,67,9,0,0,0,3,2,96.1
81,1,54,8,1,1,0,4,4,70.8
77,7,73,8,1,0,0,1,1,100.0
84,8,40,6,1,1,1,5,5,100.0
70,8,76,7,0,0,1,4,10,100.0
64,3,90,8,0,0,1,7,5,82.3
84,4,93,8,0,1,0,2,3,98.0
54,7,47,7,1,1,0,4,5,92.6
53,6,93,6,1,1,1,5,2,99.3
92,5,42,5,1,0,1,2,9,93.2
70,4,44,7,0,0,0,6,9,74.6
53,6,82,9,0,1,1,4,10,100.0
94,6,84,8,1,0,1,8,3,100.0
94,3,100,9,0,1,1,2,4,100.0
61,8,83,5,1,1,1,5,7,100.0
65,8,68,4,1,0,1,1,10,100.0
69,6,57,4,0,1,1,7,8,88.1
94,3,80,8,1,0,1,4,9,100.0
76,6,78,5,0,1,0,8,5,89.4
85,8,45,8,0,0,1,3,2,93.5
62,8,83,8,1,0,0,3,5,100.0
58,8,79,5,1,1,1,5,9,100.0
67,4,44,5,0,0,0,8,1,51.0
92,4,64,9,0,1,1,3,10,100.0
62,8,77,7,0,0,0,6,1,90.2
98,1,60,5,0,1,1,6,6,69.6
53,6,60,9,1,1,1,7,4,93.1
56,2,91,5,0,1,1,8,1,65.6
100,8,83,6,1,0,1,3,7,100.0
93,5,100,6,0,0,1,2,7,100.0
76,6,89,6,1,1,1,7,10,100.0
99,2,91,7,1,0,1,5,7,94.7
81,4,51,9,0,0,1,6,3,74.6
50,3,94,8,1,0,1,1,3,91.1
97,8,89,5,0,0,1,4,10,100.0
63,6,49,9,0,1,1,5,4,88.7
53,8,59,5,1,1,1,1,6,100.0
57,3,43,7,0,1,1,4,7,73.6
76,8,41,9,1,0,1,2,7,100.0
68,8,69,5,1,0,0,4,1,92.2
58,3,78,8,0,0,1,3,2,76.3
56,8,62,8,1,1,0,6,7,100.0
80,3,95,5,1,0,1,4,4,89.0
68,5,94,8,1,1,1,3,7,100.0
98,8,84,6,1,1,0,3,1,100.0
80,1,45,8,0,0,0,8,3,49.0
71,3,77,9,1,0,1,7,8,91.5
79,3,49,7,1,1,0,7,9,81.9
68,7,96,8,1,0,0,7,4,100.0
80,4,64,6,0,1,1,2,1,80.6
96,7,45,5,1,1,1,6,9,100.0
73,2,73,4,0,0,0,2,1,60.8
89,6,55,9,1,0,0,2,9,100.0
74,3,40,4,1,0,1,1,10,80.3
80,6,64,9,0,1,1,2,4,100.0
60,6,55,7,0,0,0,6,8,85.0
98,5,92,5,0,1,1,4,7,100.0
95,1,82,7,1,0,0,5,10,88.3
68,3,44,6,0,0,1,5,10,73.7
72,8,47,8,1,1,1,5,9,100.0
60,3,94,9,0,1,1,1,4,97.1
74,4,99,5,1,1,0,8,10,100.0
68,3,65,6,1,0,0,2,5,78.6
90,1,57,8,1,0,1,3,5,75.3
60,7,74,7,1,0,0,3,7,100.0
97,5,64,5,0,1,1,5,2,84.5
60,4,57,8,1,0,1,3,2,78.3
87,6,76,7,1,1,1,7,9,100.0
56,8,74,8,0,0,1,8,1,89.8
97,3,99,7,0,1,1,5,8,100.0
96,4,100,7,1,0,1,6,5,100.0
89,3,46,6,1,0,0,1,6,78.7
89,6,89,6,1,0,1,4,7,100.0
77,5,70,9,1,1,1,6,4,98.4
69,2,84,7,0,1,0,2,5,83.4
85,7,47,7,1,0,1,2,2,93.8
76,4,84,8,0,0,0,5,7,91.3
93,2,64,7,1,0,1,3,7,85.7
69,6,62,6,0,0,0,5,10,93.1
76,8,53,9,1,0,0,4,5,100.0
88,3,52,6,0,0,0,2,3,68.4
57,3,87,5,1,1,1,7,3,79.7
80,7,44,5,1,0,0,5,2,80.1
60,8,75,7,0,0,1,1,7,100.0
67,2,98,6,1,1,0,3,2,84.1
53,5,56,8,1,1,0,6,4,83.0
97,5,46,8,0,0,0,6,9,87.8
70,8,95,9,1,0,1,1,5,100.0
67,4,68,5,1,0,0,4,8,85.6
87,2,89,5,1,1,1,7,5,85.5
62,8,72,4,0,0,1,8,3,86.2
67,4,88,9,0,1,1,4,2,92.6
72,3,66,9,1,0,0,5,6,83.3
70,1,90,6,1,0,0,7,3,67.5
64,6,78,9,0,0,0,1,3,96.5
91,6,62,8,1,0,0,7,1,85.5
78,1,60,7,0,1,1,8,5,64.6
63,5,91,9,0,0,0,7,9,99.5
95,7,49,8,0,1,1,4,6,100.0
53,1,41,9,0,0,0,3,9,63.5
51,8,90,5,1,0,1,4,6,100.0
89,3,77,9,0,1,0,1,8,100.0
81,5,61,6,1,1,0,4,6,93.6
61,6,59,6,1,0,1,3,7,95.3
87,6,79,9,1,1,1,2,4,100.0
91,4,87,7,0,1,1,7,4,92.5
93,6,74,4,0,1,0,1,9,100.0
76,1,84,9,0,1,1,4,2,77.8
75,2,44,8,0,1,1,1,6,77.1
73,7,47,9,1,1,0,1,5,100.0
67,2,54,9,0,1,1,2,6,80.0
55,5,97,4,1,1,0,7,5,92.3
75,5,74,4,1,0,0,4,7,90.6
68,4,73,8,0,0,1,8,8,85.8
